Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,102.09,106.57,105.96,74.73,80.84,106.25,111.31,97.11,99.22,91.46,92.48,86.54,96.97
"034 Ikan, segar (hidup atau mati), dingin atau beku",103.6,109.44,104.7,106.36,103.52,102.58,104.85,107.36,104.69,106.47,110.23,103.39,105.62
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",104.49,102.99,100.07,107.78,108.43,100.48,108.38,102.61,102.59,104.97,107.44,114.05,105.54
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",95.47,95.1,103.04,93.19,90.61,90.32,85.31,66.03,90.77,93.2,93.12,90.02,90.58
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,101.22,107.34,112.87,111.41,108.81,106.41,114.44,115.64,112.23,108.52,106.98,115.06,110.29
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",114.65,94.65,99.28,146.9,130.22,138.56,143.82,126.3,113.43,114.5,99.84,110.28,124.17
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",110.14,116.48,115.65,95.87,107.5,131.28,129,99.51,127.21,117.41,113.27,113.66,114.93
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",61.43,66.78,64.3,68.28,72.72,76.95,80.59,88.82,103.49,110.21,123.4,124.87,90.22
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",110.88,119.03,124.03,134.59,139.7,149.09,145.09,133.47,128.78,126.63,129.34,130.36,131.89
"061 Gula, molase dan madu",148.3,124.77,116.74,126.67,150.14,156.88,156.23,146.96,156.37,163.38,151.46,146.94,146.75
062 Gula hias,114.24,110.55,112.25,103.66,105.5,116.5,113.05,120.87,122.89,118.53,118.07,122.54,115.4
072 Kakao,147.31,143.71,162.81,161.89,204.82,208.72,253.36,286.29,352.34,332.16,315.85,322.97,271.47
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",107.9,100.69,108.54,90.98,95.66,106.99,114.16,107.7,107.96,117.53,119.78,117.67,108.28
074 Teh dan mate,95.03,92.61,76.63,106.11,90.05,80.21,81.88,84.2,76.67,78.44,84.79,80.3,85.64
075 Bumbu-bumbu,104.77,109.54,102.05,108.65,121.3,124.89,127.71,122.27,135.06,137.31,128.24,127.84,123.37
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),145.9,126.54,115.31,114.39,106.17,106.69,105.39,106.32,101.87,93.93,93.36,89.91,113.16
091 Margarin dan mentega,115.89,117.46,115.87,122.26,127.25,132.88,134.99,139.54,142.77,152.68,170.75,185.14,141.16
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",123.28,116.15,119.78,128.82,117.5,131.02,119.52,124.35,122.85,126.7,131.15,122.37,123.45
"111 Minuman non-alkohol, tidak dirinci.",92.95,93.63,98,103.71,90.16,94.55,87.79,95.84,98.93,95.2,109.57,92.54,95.37
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",104.13,97.77,32.47,99.5,93.42,101.73,101.99,100.94,106.19,98.57,104.64,98.33,90.43
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",102.96,104.66,109.09,115.98,122.26,124.79,130.01,133.93,142.53,142.44,151.35,157.82,130.55
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",98.74,99.01,102.33,106.48,113.38,111.4,117.4,123.03,114.68,124.83,126.59,130.23,110.11
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",91.91,96.18,95.92,92.17,90.9,82.58,88.62,91.59,93.03,88.2,89.91,88.45,90.81
251 Bubur dan limbah kertas,85.24,84.59,86.32,88.96,89.2,92.01,92.65,88.1,82.34,79.73,82.25,79.99,85.82
263 Katun,85.51,82,81.17,78.11,75.07,80.67,101.9,90.81,90.68,96.66,94.22,108.69,89.51
"273 Batu, pasir dan kerikil",110.4,110.57,110.25,109.92,117.67,124.6,119.32,118.21,118.56,115.69,112.17,117.73,116.37
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,112.29,100.28,99.94,118.95,129.46,0,126.31,138.69,133.66,127.56,132.53,186.24,124.18
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",131.66,122.92,118.39,119.47,106.25,110.92,116.4,109,138.3,141.51,142.61,143.25,124.12
"292 Bahan nabati mentah, tidak dirinci",110.63,128.68,115.03,111.73,133.06,118.27,113.75,116.55,101.64,106.33,108.96,112.6,115.14
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",140.2,133.45,127.95,133.34,130.66,125.9,116.9,118.21,121.97,127.67,128.58,134.49,128.33
